zinc_id,smiles
ZINC000005934590,N#Cc1cccc(-c2ccccc2)c1
ZINC000002042071,c1ccc2c([C@@H]3CCCN3)cccc2c1
ZINC000067802863,CC(C)c1cc(C(=O)O)ccc1Cl
ZINC000003978623,CC(C)=CC[C@H](O)[C@H]1CC=C(C)CC1
ZINC000000389491,Fc1c(Cl)cccc1Cl
ZINC000002572506,Clc1cc2cc[nH]c2cc1Cl
ZINC000033832739,C=CC(=C)CC/C=C(\C)COC(C)=O
ZINC000072399616,[C-]#[N+]c1ccc(CBr)cc1
ZINC000032233020,c1ccc(-c2cc3cccnc3[nH]2)cc1
ZINC000013437581,CCCCCc1nc(CC)cs1
ZINC000034027333,CC[C@H](S)c1ccccc1
ZINC000002576202,CCCc1ccc(C(=O)CC)cc1
ZINC000041206261,N[C@@H](c1ccccc1F)C1CCCC1
ZINC000064370147,FC(F)(F)C[C@](F)(Cl)CCl
ZINC000064633820,CC(C)C1CCC(C)(OO)CC1
ZINC000100075616,CC1(C)C[C@@]2(C)CC[C@H]1C2
ZINC000095620553,CCCCc1ncsc1CCC
ZINC000002038971,C=Cc1ccccc1Br
ZINC000002655580,S=c1[nH]c2ccc(Cl)cc2o1
ZINC000034256676,Cc1ccccc1[C@H](C#N)C(C)C
ZINC000037180150,C[C@@H](NCC1CCC1)c1ccccc1
ZINC000033606603,CCCCC[C@H](C=O)CCC
ZINC000042401723,N[C@@H]1CCCC[C@H]1CC1CCCC1
ZINC000002564310,FC(F)(F)c1ccc2cc[nH]c2c1
ZINC000033829818,C=CC1=CCSSS1
ZINC000001259903,N#Cc1cccc(-c2cccc(F)c2)c1
ZINC000000138294,Clc1ccc(-n2cccc2)cc1
ZINC000014984637,Cc1cc(Cl)cc2[nH]ccc12
ZINC000042784130,CC[C@H](C)c1ccc(OC)c(C=O)c1
ZINC000083428649,C=Cc1cccc(CCl)c1
ZINC000049538681,ClC1(Cl)C[C@H]1c1ccccc1
